doc_id,case_title,proof_support_score,in_degree,out_degree
260617,,3.9e-05,7,0
685234,,3.7e-05,14,0
1281050,,3.6e-05,10,0
667935,"Deoki Nandan vs Murlidhar on 4 October, 1956",3.6e-05,7,4
1498182,"P. Lakshmi Reddy vs L. Lakshmi Reddy on 5 December, 1956",3.6e-05,7,4
1764620,,3.3e-05,7,0
41868,"The State Of Bihar vs Maharajadhiraja Sir Kameshwar Singhof ... on 27 May, 1952",3.3e-05,15,8
4354,,3.3e-05,11,0
1652416,"Angurbala Mullick vs Debabrata Mullick on 3 May, 1951",3.3e-05,5,5
165105,,3.2e-05,9,0
973363,"The State Of West Bengal vs Subodh Gopal Bose And Others on 17 December, 1953",3.2e-05,12,7
1729819,,3.2e-05,7,0
1465665,,3.2e-05,5,0
571954,,3.2e-05,5,0
1634289,,3.2e-05,12,0
1921768,,3.2e-05,5,0
56195,,3.1e-05,3,0
895706,"Chandavarkar Sita Ratna Rao vs Ashalata S. Guram on 25 September, 1986",3.1e-05,6,18
1302911,,3.1e-05,10,0
1430396,"The Commissioner, Hindu Religious ... vs Sri Lakshmindra Thirtha Swamiar Of Sri ... on 16 April, 1954",3.1e-05,7,5
1834730,,3.1e-05,4,0
1653414,,3.1e-05,5,0
1872225,,3e-05,4,0
531811,,3e-05,5,0
1233360,,3e-05,6,0
919121,,3e-05,5,0
974148,,3e-05,4,0
59678,,3e-05,2,0
951773,,3e-05,2,0
1087392,,3e-05,2,0
1431786,"Kavalappara Kottarathil Kochuni And ... vs The State Of Madras And Others on 4 May, 1960",3e-05,8,18
946004,"Sahu Madho Das And Others vs Pandit Mukand Ram And Another(And ... on 22 March, 1955",3e-05,5,6
1012363,,3e-05,3,0
580886,,3e-05,3,0
373863,,3e-05,3,0
1427097,,3e-05,4,0
1880952,,3e-05,8,0
554839,,3e-05,5,0
1188309,,3e-05,8,0
194120,,3e-05,2,0
1913766,,3e-05,5,0
1607096,,3e-05,4,0
579822,,3e-05,4,0
