filename,year,decade,doc_id,drive_path,indiankanoon_url,case_citation_count
The_Commissioner_Of_Income_Tax_West_vs_Raja_Benoy_Kumar_Sahas_Roy_on_23_May_1957_1.PDF,1957,1950,858834,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1957/The_Commissioner_Of_Income_Tax_West_vs_Raja_Benoy_Kumar_Sahas_Roy_on_23_May_1957_1.PDF,http://indiankanoon.org/doc/858834/,29
S_M_Jakati_Another_vs_S_M_Borkar_Others_on_24_September_1958_1.PDF,1958,1950,981621,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1958/S_M_Jakati_Another_vs_S_M_Borkar_Others_on_24_September_1958_1.PDF,http://indiankanoon.org/doc/981621/,14
Namdeo_Lokman_Lodhi_vs_Narmadabai_And_Others_on_27_February_1953_1.PDF,1953,1950,236012,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1953/Namdeo_Lokman_Lodhi_vs_Narmadabai_And_Others_on_27_February_1953_1.PDF,http://indiankanoon.org/doc/236012/,12
Nagendra_Nath_Bora_Another_vs_The_Commissioner_Of_Hills_Divisionand_on_7_February_1958_1.PDF,1958,1950,568069,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1958/Nagendra_Nath_Bora_Another_vs_The_Commissioner_Of_Hills_Divisionand_on_7_February_1958_1.PDF,http://indiankanoon.org/doc/568069/,11
Shrinivas_Krishnarao_Kango_vs_Narayan_Devji_Kango_And_Others_on_23_March_1954_1.PDF,1954,1950,1089401,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1954/Shrinivas_Krishnarao_Kango_vs_Narayan_Devji_Kango_And_Others_on_23_March_1954_1.PDF,http://indiankanoon.org/doc/1089401/,10
The_Member_For_The_Board_Of_Agricultural_vs_Smt_Sindhurani_Chaudhurani_With_on_24_April_1957_1.PDF,1957,1950,1713186,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1957/The_Member_For_The_Board_Of_Agricultural_vs_Smt_Sindhurani_Chaudhurani_With_on_24_April_1957_1.PDF,http://indiankanoon.org/doc/1713186/,10
Province_Of_Bombay_vs_Kusaldas_S_Advani_And_Others_on_15_September_1950_1.PDF,1950,1950,1954356,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1950/Province_Of_Bombay_vs_Kusaldas_S_Advani_And_Others_on_15_September_1950_1.PDF,http://indiankanoon.org/doc/1954356/,9
The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singh_Of_on_2_May_1952_1.PDF,1952,1950,49043,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1952/The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singh_Of_on_2_May_1952_1.PDF,http://indiankanoon.org/doc/49043/,9
Maharajadhiraj_Sir_Kameshwar_Singh_vs_The_State_Of_Bihar_on_15_May_1959_1.PDF,1959,1950,219225,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1959/Maharajadhiraj_Sir_Kameshwar_Singh_vs_The_State_Of_Bihar_on_15_May_1959_1.PDF,http://indiankanoon.org/doc/219225/,9
Kumar_Pashupatinath_Malia_Another_vs_Deba_Prosanna_Mukherjee_on_4_May_1951_1.PDF,1951,1950,330852,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1951/Kumar_Pashupatinath_Malia_Another_vs_Deba_Prosanna_Mukherjee_on_4_May_1951_1.PDF,http://indiankanoon.org/doc/330852/,8
The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singhof_on_27_May_1952_1.PDF,1952,1950,41868,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1952/The_State_Of_Bihar_vs_Maharajadhiraja_Sir_Kameshwar_Singhof_on_27_May_1952_1.PDF,http://indiankanoon.org/doc/41868/,8
Natvarlal_Punjabhai_And_Another_vs_Dadubhai_Manubhai_And_Others_on_18_November_1953_1.PDF,1953,1950,1786669,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1953/Natvarlal_Punjabhai_And_Another_vs_Dadubhai_Manubhai_And_Others_on_18_November_1953_1.PDF,http://indiankanoon.org/doc/1786669/,8
Harihar_Prasad_Singh_And_Another_vs_Must_Of_Munshi_Nath_Prasadand_Others_on_16_January_1956_1.PDF,1956,1950,1606165,/content/drive/MyDrive/Indian Dataset/supreme_court_judgments/1956/Harihar_Prasad_Singh_And_Another_vs_Must_Of_Munshi_Nath_Prasadand_Others_on_16_January_1956_1.PDF,http://indiankanoon.org/doc/1606165/,8
