citing_doc_id,citing_case,cited_doc_id,cited_text,polarity,verb
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",836345,Ram Gopal v. Nand Lal and Others,unsigned,
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",846754,1) and Bishunath Prasad Singh v. Chandika Prasad Kumari,unsigned,
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",1201431,Kanhai Lal v. Brij Lal,unsigned,
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",1653414,Ramgouda Annagouda v. Bhausaheb,unsigned,
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",1921768,Rangasami Gounden v. Nachiappa Gounden,unsigned,
378583,"Dhiyan Singh And Another vs Jugal Kishore And Another on 22 February, 1950",1925373,3) and Mr. Binda Kuer v. Lalitha Prasad,unsigned,
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",1553436,Ameer Ammal v. Sankaranarayanan Chetty,neutral,referred
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",1730415,Maina Bibi v. Chaudhri Vakil Ahmad,unsigned,
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",113492,Maina Bibi v. Wasi Ahmad,neutral,referred
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",962828,Hamira Bibi v. Zubaida Bibi,unsigned,
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",377098,Imtiaz Begum v. Abdul Karim Khan,neutral,referred
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",1925073,Kulsum Bibi v. Shiam Sunder Lal,negative,disapproved
76789,"[In The Supreme Court Of India ... vs Kadar Unnisa Begum And Others on 12 October, 1950",318782,Ghafooran v. Ram Chandra Das,negative,disapproved
1954356,"Province Of Bombay vs Kusaldas S. Advani And Others on 15 September, 1950",883432,Rex v. Boycott and Others,neutral,referred to
1954356,"Province Of Bombay vs Kusaldas S. Advani And Others on 15 September, 1950",1584686,Jugilal Kamlapat v. The Collector of Bombay,neutral,referred to
